,country,latitude,longitude,continent
0,United Arab Emirates,23.424076,53.847818000000004,Asia
1,Afghanistan,33.93911,67.709953,Asia
2,Armenia,40.069099,45.038189,Asia
3,Azerbaijan,40.143105,47.576927000000005,Asia
4,Bangladesh,23.684994,90.35633100000001,Asia
5,Bahrain,25.930414000000003,50.637772,Asia
6,Brunei,4.535277,114.72766899999999,Asia
7,Bhutan,27.514162,90.433601,Asia
8,Cocos [Keeling] Islands,-12.164164999999999,96.870956,Asia
9,China,35.86166,104.195397,Asia
10,Christmas Island,-10.447525,105.690449,Asia
11,Georgia,42.315407,43.356891999999995,Asia
12,Hong Kong,22.396428,114.10949699999999,Asia
13,Indonesia,-0.789275,113.921327,Asia
14,Israel,31.046051000000002,34.851612,Asia
15,India,20.593684,78.96288,Asia
16,British Indian Ocean Territory,-6.343194,71.87651899999999,Asia
17,Iraq,33.223191,43.679291,Asia
18,Iran,32.427908,53.68804599999999,Asia
19,Jordan,30.585164000000002,36.238414,Asia
20,Japan,36.204824,138.252924,Asia
21,Kyrgyzstan,41.20438,74.766098,Asia
22,Cambodia,12.565679,104.990963,Asia
23,North Korea,40.339852,127.510093,Asia
24,South Korea,35.907757000000004,127.766922,Asia
25,Kuwait,29.311659999999996,47.481766,Asia
26,Kazakhstan,48.019573,66.923684,Asia
27,Laos,19.856270000000002,102.495496,Asia
28,Lebanon,33.854721000000005,35.862285,Asia
29,Sri Lanka,7.873054,80.77179699999999,Asia
30,Myanmar [Burma],21.913965,95.956223,Asia
31,Mongolia,46.862496,103.84665600000001,Asia
32,Maldives,3.202778,73.22068,Asia
33,Malaysia,4.210483999999999,101.97576600000001,Asia
34,Nepal,28.394857000000002,84.12400799999999,Asia
35,Oman,21.512583,55.923255000000005,Asia
36,Philippines,12.879721,121.77401699999999,Asia
37,Pakistan,30.375321000000003,69.345116,Asia
38,Qatar,25.354826,51.183884,Asia
39,Saudi Arabia,23.885942,45.079162,Asia
40,Singapore,1.352083,103.819836,Asia
41,Syria,34.802075,38.996815000000005,Asia
42,Thailand,15.870032,100.992541,Asia
43,Tajikistan,38.861034000000004,71.276093,Asia
44,Turkmenistan,38.969719,59.556278000000006,Asia
45,Turkey,38.963745,35.243322,Asia
46,Taiwan,23.69781,120.96051499999999,Asia
47,Uzbekistan,41.377491,64.585262,Asia
48,Vietnam,14.058323999999999,108.277199,Asia
49,Yemen,15.552726999999999,48.516388,Asia
